"sentence","noun_phrase","grammatical","corrected"
"They found out that the processing of the final words of the line in the form of poem with enjambment did not differ significantly from the processing of the same words in prose .","the line","yes","the line"
"They found out that the processing of the final words of the line in the form of poem with enjambment did not differ significantly from the processing of the same words in prose .","the form","yes","the form"
"They found out that the processing of the final words of the line in the form of poem with enjambment did not differ significantly from the processing of the same words in prose .","poem","yes","poem"
"They found out that the processing of the final words of the line in the form of poem with enjambment did not differ significantly from the processing of the same words in prose .","enjambment","yes","enjambment"
"They found out that the processing of the final words of the line in the form of poem with enjambment did not differ significantly from the processing of the same words in prose .","the same words","yes","the same words"
"They found out that the processing of the final words of the line in the form of poem with enjambment did not differ significantly from the processing of the same words in prose .","prose","yes","prose"
"Koops van Ûa t Jagt et al. show similar findings and also indicate that differences were found between the processing of prospective and retrospective enjambment .","Jagt","yes","Jagt"
"Koops van Ûa t Jagt et al. show similar findings and also indicate that differences were found between the processing of prospective and retrospective enjambment .","et al","yes","et al"
"Koops van Ûa t Jagt et al. show similar findings and also indicate that differences were found between the processing of prospective and retrospective enjambment .",".","yes","."
"Koops van Ûa t Jagt et al. show similar findings and also indicate that differences were found between the processing of prospective and retrospective enjambment .","similar findings","yes","similar findings"
"Koops van Ûa t Jagt et al. show similar findings and also indicate that differences were found between the processing of prospective and retrospective enjambment .","differences","yes","differences"
"Koops van Ûa t Jagt et al. show similar findings and also indicate that differences were found between the processing of prospective and retrospective enjambment .","the processing","yes","the processing"
"Koops van Ûa t Jagt et al. show similar findings and also indicate that differences were found between the processing of prospective and retrospective enjambment .","prospective and retrospective enjambment","yes","prospective and retrospective enjambment"
"Minor or insignificant differences were found between the processing of poetry with retrospective enjambment and the poetry without enjambment .","Minor or insignificant differences","yes","Minor or insignificant differences"
"Minor or insignificant differences were found between the processing of poetry with retrospective enjambment and the poetry without enjambment .","the processing","yes","the processing"
"Minor or insignificant differences were found between the processing of poetry with retrospective enjambment and the poetry without enjambment .","poetry","yes","poetry"
"Minor or insignificant differences were found between the processing of poetry with retrospective enjambment and the poetry without enjambment .","retrospective enjambment","yes","retrospective enjambment"
"Minor or insignificant differences were found between the processing of poetry with retrospective enjambment and the poetry without enjambment .","the poetry","yes","the poetry"
"Minor or insignificant differences were found between the processing of poetry with retrospective enjambment and the poetry without enjambment .","enjambment","yes","enjambment"
"Both were found to differ significantly from the processing of prospective enjambment .","Both","yes","Both"
"Both were found to differ significantly from the processing of prospective enjambment .","the processing","yes","the processing"
"Both were found to differ significantly from the processing of prospective enjambment .","prospective enjambment","yes","prospective enjambment"
"Final words in the line with prospective enjambment were processed faster due to incompleteness in the syntactic structure .","Final words","yes","Final words"
"Final words in the line with prospective enjambment were processed faster due to incompleteness in the syntactic structure .","Final words","yes","Final words"
"Final words in the line with prospective enjambment were processed faster due to incompleteness in the syntactic structure .","the line","no","line"
"Final words in the line with prospective enjambment were processed faster due to incompleteness in the syntactic structure .","prospective enjambment","yes","prospective enjambment"
"Final words in the line with prospective enjambment were processed faster due to incompleteness in the syntactic structure .","incompleteness","no","an incompleteness"
"Final words in the line with prospective enjambment were processed faster due to incompleteness in the syntactic structure .","the syntactic structure","no","syntactic structure"
"Studies often include the comparison between the processing of poem with the processing of prose and find significant differences between the two .","Studies","yes","Studies"
"Studies often include the comparison between the processing of poem with the processing of prose and find significant differences between the two .","the comparison","no","a comparison"
"Studies often include the comparison between the processing of poem with the processing of prose and find significant differences between the two .","the processing","yes","the processing"
"Studies often include the comparison between the processing of poem with the processing of prose and find significant differences between the two .","poem","yes","poem"
"Studies often include the comparison between the processing of poem with the processing of prose and find significant differences between the two .","prose","yes","prose"
"Studies often include the comparison between the processing of poem with the processing of prose and find significant differences between the two .","significant differences","yes","significant differences"
"Hanauer found that the graphic form of the stimuli influences its recall : the graphic representation as poem enhances the recall .","Hanauer","yes","Hanauer"
"Hanauer found that the graphic form of the stimuli influences its recall : the graphic representation as poem enhances the recall .","poem","yes","poem"
"Hanauer found that the graphic form of the stimuli influences its recall : the graphic representation as poem enhances the recall .","the graphic form","yes","the graphic form"
"Hanauer found that the graphic form of the stimuli influences its recall : the graphic representation as poem enhances the recall .","the stimuli","yes","the stimuli"
"Hanauer found that the graphic form of the stimuli influences its recall : the graphic representation as poem enhances the recall .","its recall","yes","its recall"
"Hanauer found that the graphic form of the stimuli influences its recall : the graphic representation as poem enhances the recall .","the graphic representation","no","graphic representation"
"Hanauer found that the graphic form of the stimuli influences its recall : the graphic representation as poem enhances the recall .","poem","yes","poem"
"Hanauer found that the graphic form of the stimuli influences its recall : the graphic representation as poem enhances the recall .","the recall","yes","the recall"
"Rhyme was also shown to enhance the memory for poetry .","Rhyme","yes","Rhyme"
"Rhyme was also shown to enhance the memory for poetry .","the memory","yes","the memory"
"Rhyme was also shown to enhance the memory for poetry .","poetry","yes","poetry"
"The interactions between enjambment and rhyme seem to be unexplored in literature .","The interactions","yes","The interactions"
"The interactions between enjambment and rhyme seem to be unexplored in literature .","enjambment","yes","enjambment"
"The interactions between enjambment and rhyme seem to be unexplored in literature .","rhyme","yes","rhyme"
"The interactions between enjambment and rhyme seem to be unexplored in literature .","literature","no","the literature"
"The differences between the processing of prospective enjambment and poetry without enjambment were the largest .","The differences","yes","The differences"
"The differences between the processing of prospective enjambment and poetry without enjambment were the largest .","the processing","no","processing"
"The differences between the processing of prospective enjambment and poetry without enjambment were the largest .","prospective enjambment","yes","prospective enjambment"
"The differences between the processing of prospective enjambment and poetry without enjambment were the largest .","poetry","yes","poetry"
"The differences between the processing of prospective enjambment and poetry without enjambment were the largest .","enjambment","no","the enjambment"
"The main research question of the current study is as follows : how do rhyme and prospective enjambment affect word recognition ?","The main research question","yes","The main research question"
"The main research question of the current study is as follows : how do rhyme and prospective enjambment affect word recognition ?","the current study","yes","the current study"
"The main research question of the current study is as follows : how do rhyme and prospective enjambment affect word recognition ?","prospective enjambment","yes","prospective enjambment"
"The main research question of the current study is as follows : how do rhyme and prospective enjambment affect word recognition ?","word recognition","no","the word recognition"
"The Independent : a prospective enjambment operationalised via the presence or absence of the prospective enjambment in the critical position ( 3rd line","the presence","no","presence"
"The Independent : a prospective enjambment operationalised via the presence or absence of the prospective enjambment in the critical position ( 3rd line","a prospective enjambment","yes","a prospective enjambment"
"The Independent : a prospective enjambment operationalised via the presence or absence of the prospective enjambment in the critical position ( 3rd line","The Independent : a prospective enjambment","yes","The Independent : a prospective enjambment"
"The Independent : a prospective enjambment operationalised via the presence or absence of the prospective enjambment in the critical position ( 3rd line","absence","yes","absence"
"The Independent : a prospective enjambment operationalised via the presence or absence of the prospective enjambment in the critical position ( 3rd line","the prospective enjambment","yes","the prospective enjambment"
"The Independent : a prospective enjambment operationalised via the presence or absence of the prospective enjambment in the critical position ( 3rd line","the critical position","yes","the critical position"
"The Independent : a prospective enjambment operationalised via the presence or absence of the prospective enjambment in the critical position ( 3rd line","3rd line","yes","3rd line"
"The Independent : a prospective enjambment operationalised via the presence or absence of the prospective enjambment in the critical position ( 3rd line","The Independent","yes","The Independent"
"There were four types of probes and foils created for this task .","four types","yes","four types"
"There were four types of probes and foils created for this task .","probes","yes","probes"
"There were four types of probes and foils created for this task .","foils","yes","foils"
"The poems chosen were not particularly popular or known to a general audience .","a general audience","no","the general audience"
"All the pairs ( original rhymed and manipulated non-rhymed versions ) were checked with the external reader for the identical meaning of them .","All the pairs","no","All pairs"
"This resulted in the total number of 64 quadrants per an experimental set .","the total number","no","a total number"
"It challenges the dominant view ( Steppe Hypothesis ) by providing evidence for via-Europe hypothesis and examining the split of Indic and Iranian .","evidence","no","an evidence"
"For the word forms that had their spelling altered the word form frequency for the original spelling was calculated .","the word forms","no","word forms"
"For the word forms that had their spelling altered the word form frequency for the original spelling was calculated .","for the original spelling","no","the original spelling"
"The fixation cross of the size of the font of the stanza appeared on the white screen at the point where the stanza was going to begin on the next slide","the white screen","no","a white screen"
"The fixation cross of the size of the font of the stanza appeared on the white screen at the point where the stanza was going to begin on the next slide","The fixation cross","no","A fixation cross"
"In this paper I will argue that the sentences (0a) and (0b) have different structure and that the agreement mismatch can be explained with the help of little n proposal .","little n proposal","no","the little n proposal"
"Serial verb constructions also allow pronoun (3) or preposition (18) in between .","pronoun (3)","no","a pronoun (3)"
"Serial verb constructions also allow pronoun (3) or preposition (18) in between .","preposition (18)","no","a preposition (18)"
"The response options were presented on one line to get rid of the rating association .","The response options","no","Response options"
"They were presented with the horizontal scale from -2 ( don t like it at all ) to 2 ( like it very much ) .","the horizontal scale","no","a horizontal scale"
"The participants were thanked for the participation at the final screen of the experiment .","The participants","no","Participants"
"It challenges the dominant view ( Steppe Hypothesis ) by providing evidence for via-Europe hypothesis and examining the split of Indic and Iranian .","via-Europe hypothesis","no","the via-Europe hypothesis"
"This included the reaction time for incorrect responses and the responses that took longer than 10000 ms.","incorrect responses","no","the incorrect responses"
"The items in all the lists were presented in random order to the participants except for the practice trials : those had fixed order identical for all the participants .","all the participants","no","all participants"
"This included the reaction time for incorrect responses and the responses that took longer than 10000 ms.","the responses","no","responses"
"Table 1 presents mean and SD values for accuracy and RT for each of the 4 conditions.","mean","no","the mean"
"In this paper I will argue that the sentences (0a) and (0b) have different structure and that the agreement mismatch can be explained with the help of little n proposal","different structure","no","a different structure"
"The accuracy in conditions without rhyme is almost equal independently of whether the enjambment is present or not .","conditions","no","the conditions"
"The values are calculated on the 5-point scale with 1 being the lowest rating ( don t like it at all ) and 5 being the highest rating (like it very much ) .","the 5-point scale","no","a 5-point scale"
"Linear mixed model was applied to RT measures .","Linear mixed model","no","A Linear mixed model"
"No main effect of rhyme was observed ( p = 0.71 )","rhyme","no","the rhyme"
"This main effect is difficult to interpret because of a limited set of data collected .","a limited set","no","the limited set"
"At the same time it obviously does not limit neither little v nor little n to their function of category assignment and therefore aims to outline other duties that little n does for N bringing it in comparison with what little v does for the verbal projection .","little v","no","the little v"
"At the same time it obviously does not limit neither little v nor little n to their function of category assignment and therefore aims to outline other duties that little n does for N bringing it in comparison with what little v does for the verbal projection .","little n","no","the little n"
"At the same time it obviously does not limit neither little v nor little n to their function of category assignment and therefore aims to outline other duties that little n does for N bringing it in comparison with what little v does for the verbal projection .","N","no","the N"
"At the same time it obviously does not limit neither little v nor little n to their function of category assignment and therefore aims to outline other duties that little n does for N bringing it in comparison with what little v does for the verbal projection .","other duties","no","the other duties"
"What is the evidence for it changing structure of the nominal projection?","structure","no","the structure"
"What is the evidence for it changing structure of the nominal projection ?","the nominal projection","no","nominal projection"
"Along with providing a coherent narrative around what has already been said about little n I hope to bring in new evidence as supporting these claims by looking at subject-verb agreement mismatch in Russian .","new evidence","no","a new evidence"
"Along with providing a coherent narrative around what has already been said about little n I hope to bring in new evidence as supporting these claims by looking at subject-verb agreement mismatch in Russian .","subject-verb agreement mismatch","no","the subject-verb agreement mismatch"
"Similar logic would hold and actually help to distinguish between different categories of the roots that are homophonous for verbs and nouns for example such as ( 2 ) for English :","different categories","no","the different categories"
"Similar logic would hold and actually help to distinguish between different categories of the roots that are homophonous for verbs and nouns for example such as ( 2 ) for English :","the roots","no","roots"
"According to him this and similar patterns showed evidence that once the root is being merged into the structure with n it gets assigned gender in a form of a specific morpheme ( leaving the discussion about phonological properties presented in the paper aside ) which is different for masculine and feminine .","evidence","no","an evidence"
"According to him this and similar patterns showed evidence that once the root is being merged into the structure with n it gets assigned gender in a form of a specific morpheme ( leaving the discussion about phonological properties presented in the paper aside ) which is different for masculine and feminine .","a form","no","the form"
"This has been shown to be true with the reference to the cross-linguistic study of the nominal projection on Bantu languages by Fuchs & Van der Wal .","the nominal projection","no","nominal projection"
"Noun class just like phi-features plays key role for the agreement mechanism in Bantu as shown in ( 4 ) for Swahili :","phi-features","no","the phi-features"
"Noun class just like phi-features plays key role for the agreement mechanism in Bantu as shown in ( 4 ) for Swahili :","key role","no","a key role"
"In their paper Fuchs & Van der Wal show little n account for noun classes is capable of capturing the microvariation in nominal projection across Bantu languages","little n","no","the little n"
"In their paper Fuchs & Van der Wal show little n account for noun classes is capable of capturing the microvariation in nominal projection across Bantu languages","noun classes","no","the noun classes"
"In their paper Fuchs & Van der Wal show little n account for noun classes is capable of capturing the microvariation in nominal projection across Bantu languages","the microvariation","no","microvariation"
"For the languages like Spanish , whether there are three genders ( biologically based ) : feminine , masculine and neuter , he develops the following paradigm : n i [ +FEM ] , n i [ -FEM ] , n , n u [ -FEM ] , n u [ +FEM ] , where the interpretable [ -FEM ] feature gives masculine and the uninterpretable ones lead to neuter .","the languages","no","languages"
"This seems to be a common problem for literature that discusses the functions of little n at the very moment these functions start exceeding that of nominalisation .","literature","no","the literature"
"This is somewhat similar to the feature bundling of little v .","little v","no","the little v"
"This is somewhat similar to the feature bundling of little v .","the feature bundling","no","feature bundling"
"These silent nouns are nevertheless licensing genitive on John and Year .","genitive","no","the genitive"
"From the examples given in ( 13 ) it becomes clear that John is always bearing genitive case independently of the case that is licensed for the matrix noun by the structure ( be it a verb or a preposition ) .","genitive case","no","the genitive case"
"In other words , extended nominal projection mirrors extended verbal projection .","extended verbal projection","no","the extended verbal projection"
"This suggests that if there are multiple ns possible , little n can have a lot of flavours such as at least : gender ; person ; nominalisation ; diminution ; infinitivisation .","little n","no","the little n"
"Based on the data presented in Section 2.1 I propose that there are two different structures that correspond to the two different agreement patterns for such phrases containing numeral in Russian .","numeral","no","a numeral"
"For the cases like ( 15a ) where expected agreement pattern is represented the structure of the lower part of the nominal projection will look like ( 19 ) ( the word for cat in Russian is masculine ) .","expected agreement pattern","no","the expected agreement pattern"
"This is a tentative solution that has to be checked against other types of clauses dealing with numerals and agreement patterns in Russian and consider all those factors that were out of the scope in this paper ( as highlighted in 2.1 ) .","the scope","no","scope"
"Yet this is addressed in literature less often than other types of changes .","literature","no","the literature"
"Yet this is addressed in literature less often than other types of changes .","other types","no","the other types"
"The examples mentioned earlier exemplify this metaphor in actual language use .","actual language use","no","the actual language use"
"It also does not give insight into the optionality of use of grammaticalised demonstratives .","insight","no","an insight"
"It also does not give insight into the optionality of use of grammaticalised demonstratives .","use","no","the use"
"Further research might be interested in the paradigm of tone use in Dwang as it looks like low tones are used in a very limited number of environments as compared to high tones .","high tones","no","the high tones"
"It is also not the case the the participant tend to comment more at the beginning or the end of his speech .","the the participant","no","the participant"
"The research is also original since though the problem was highlighted earlier already ( as the literature overview suggests ) it has never received proper attention and the questions about the position of TM and KM in language tree were not properly explored or answered .","proper attention","no","a proper attention"
"Proposal 3 : The prehistoric origin and spread of the Indo-Iranian languages : A linguistic test of hypotheses rooted in genetics and archaeology","hypotheses","no","the hypotheses"
"It challenges the dominant view ( Steppe Hypothesis ) by providing evidence for via-Europe hypothesis and examining the split of """"Indic and Iranian .","evidence","no","an evidence"
"It challenges the dominant view ( Steppe Hypothesis ) by providing evidence for via-Europe hypothesis and examining the split of """"Indic and Iranian .","via-Europe","no","the via-Europe"
"Question b : The research is innovative in comparing the linguistic evidence against genetics in order to get insight into migration history .","insight","no","an insight"
"Question c : The proposal will contribute to the scholarship about the history of migration in broad sense ( supporting either of the two hypotheses ) .","broad sense","no","a broad sense"
"The prepositions are common in between serial verbs as also shown in (18) .","serial verbs","no","the serial verbs"
"The reduplicated from is used in order to put accent on fish being not big in the context of (16) .","accent","no","an accent"
"Summary : The research will describe the phrasal alternation between the absolute and oblique forms in Kerinci dialects and challenge the view that it is based on the position of the word in a phrase .","the phrasal alternation","no","phrasal alternation"
"The research seems to be not very strong in terms of challenging aspect since it basically only proposes a descriptive account of one particular phenomenon .","challenging aspect","no","the challenging aspect"
"But from the methodology it is unclear how the researcher is going to deal with further analysis of collected data and account for language contact situation .","further analysis","no","the further analysis"
"But from the methodology it is unclear how the researcher is going to deal with further analysis of collected data and account for language contact situation .","language contact situation","no","the language contact situation"
"Dutch is SVO language ( but SOV is used in subordinate clauses ) .","SVO language","no","an SVO language"
"This main effect of adverb type was confirmed by sentence production task .","sentence production task","no","a sentence production task"
"They base their predictions and methodology on a vast overview of literature on scrambling and its relation to information structure .","literature","no","the literature"
"Such a conclusion is in line with the proposal of mapping rules in general .","Such a conclusion","no","Such conclusion"
"The findings also support the idea that interpretative effects of scrambling a strictly local .","The findings","no","Findings"
"The findings also support the idea that interpretative effects of scrambling a strictly local .","a strictly local","no","the strictly local"
"This is deduced based on evidence from a large amount of previous research on the topic and confirmed with the research on French as L2 acquired by native German speakers .","evidence","no","an evidence"
"This is deduced based on evidence from a large amount of previous research on the topic and confirmed with the research on French as L2 acquired by native German speakers .","a large amount of previous research","no","the large amount of previous research"
"This ensured that children were acquainted with the morphological rules in question .","children","no","the children"
"It is expected that derivational endings are equally or at least comparably productive and frequent in child' s English given the methodology used to create the selection .","child","no","the child"
"The reduplicated from is used in order to put accent on fish being not big in the context of (16) .","fish","no","the fish"
"The article by Jennifer Hay creates a coherent story that presents an input-driven and frequency driven approach to derivational morphology and mental representation of morphologically complex words .","mental representation","no","the mental representation"
"I think this is indeed an interesting finding that forms an argumentative response to other approaches arguing that words are stored segmented in the lexicon .","words","no","the words"
"This model proposes an alternative to lexical strata model and selective restriction model .","lexical strata model","no","the lexical strata model"
"This model proposes an alternative to lexical strata model and selective restriction model .","selective restriction model","no","the selective restriction model ."
"What Pliatsikas et al. do not consider neither in their design nor in their discussion is the relative frequency of the derived form and base form that Hay is talking about .,","base form","no","the base form"
"The is evidence that acquisition of morphosyntactic features is subject to the Age of Acquisition effect and that critical period might differ depending on the specific phenomenon .","evidence","no","the evidence"
"A lot of research deals with acquisition rate in Hungarian specifically .","acquisition rate","no","the acquisition rate"
"According to Gervain in Hungarian-speaking environment children start to form morphological rules at an extremely early age .","Hungarian-speaking environment","no","a Hungarian-speaking environment"
"Xanthos at al. are looking at 9 different languages with the aim to investigate the relationship between morphological richness of the language and the rate of acquisition of morphology .","morphological richness","no","the morphological richness"
"Code-switching and borrowing both refer to inserting foreign linguistic material into the matrix language .","foreign linguistic material","no","a foreign linguistic material"
"It looks like the crucial parameter in distinguishing the borrowing from code-switching in the degree of integration of the word/constituent/etc into the recipient language .","the borrowing","no","borrowing"
"It seems to be a common assumption that switching from one language to another comes with cognitive cost .","cognitive cost","no","a cognitive cost"
"There is a big cluster of the research that investigates this cost specifically and argues for cognitive control being involved when bilinguals switch .","the research","no","research"
"There is a big cluster of the research that investigates this cost specifically and argues for cognitive control being involved when bilinguals switch .","cognitive control","no","the cognitive control"
"Here the discussion implies a framework that works with dominant and non-dominant language and looks into the direction of the switch .","dominant","no","a dominant"
"Here the discussion implies a framework that works with dominant and non-dominant language and looks into the direction of the switch .","non-dominant language","no","a non-dominant language"
"Paap et al. however calls the internal validity of those techniques into question based on not finding the correlation between the measures of cognitive control operationalised by different tasks .","the correlation","no","a correlation"
"Switching cost comes into play in both production and comprehension and is asymmetrical .","production","no","the production"
"The evidence found for the conflict adaptation paradigm shows that the brain can keep being prepared for the inconsistent trials right after it has received another inconsistent one .","another inconsistent one","no","an another inconsistent one"
"This is reflected in shorter RT ( reaction times ) in successive trials ( switch after switch ) in Meuter & Allport .","shorter RT","no","the shorter RT"
"Findings like this support the assumption that cognitive control is domain-general evidence against this view .","domain-general evidence","no","a domain-general evidence"
"As noted by Green joint activation of languages is then filtered through many processes on different levels ( including frequency for example ) .,","joint activation of languages","no","the joint activation of languages"
"There is a need for clear criteria and parameters based on which something should be classified code or language switching .","code","no","a code"
"Stimuli are numeral-containing expressions in Dutch or Mandarin with the insertion of Mandarin or Dutch noun respectively .","Mandarin or Dutch noun","no","a Mandarin or Dutch noun"
"Languages of the world differ in the ways to classify nouns .","the ways","no","ways"
"We analyse grammaticality judgements of 25 Dutch-Mandarin bilinguals regarding the cooccurrence of Mandarin sortal classifier and Dutch plural marking in numeral-containing phrases and provide tentative evidence regarding its position as the classifier in Dutch .","Dutch plural marking","no","the Dutch plural marking"
"We analyse grammaticality judgements of 25 Dutch-Mandarin bilinguals regarding the cooccurrence of Mandarin sortal classifier and Dutch plural marking in numeral-containing phrases and provide tentative evidence regarding its position as the classifier in Dutch .","tentative evidence","no","a tentative evidence"
"This is potentially challenging for sortal classifier which aims to individuate entities .,sortal classifier,,,a sortal classifier,,auto,perplex","sortal classifier","no","a sortal classifier"
"For the scenario 1 Dutch N is inserted after Mandarin Num + Cl sequence .","Mandarin Num + Cl sequence","no","the Mandarin Num + Cl sequence"
"The dependent variable in both cases is the acceptability of the structure operationalised via forced-choice grammaticality judgement task ( see Section 4 ) .","forced-choice grammaticality judgement task","no","a forced-choice grammaticality judgement task"
"The switches consist of one noun insertion ( in case of scenarios 2.1 and 2.2 classifier and noun insertion in one of the conditions ) and are always the final word of the sentence ( in order to control for having only one switch per sentence ) .","case of scenarios 2.1 and 2.2","no","the case of scenarios 2.1 and 2.2"
"The switches consist of one noun insertion ( in case of scenarios 2.1 and 2.2 classifier and noun insertion in one of the conditions ) and are always the final word of the sentence ( in order to control for having only one switch per sentence ) .","classifier","no","the classifier"
"In condition B Dutch N marked with plural inflection is inserted ( 4b ) .","Dutch N","no","a Dutch N"
"The alternative hypothesis follows Borer and holds that speakers would prefer the sentences where Dutch N is not marked for plural .","Dutch N","no","the Dutch N"
"This hypothesis would be expected based on the conclusion in Bartlett & Gonzaílez Vilbazo regarding impossible switches between Spanish and Taiwanese .","impossible switches","no","the impossible switches"
"This would mean that speakers would have preference for the sentences containing Mandarin Cl after Dutch Num .","preference","no","a preference"
"The predictions for this scenario are dependent on the findings based on scenario 2.1 .","scenario 2.1","no","the scenario 2.1"
"The alternative hypothesis holds that ONE is a sortal classifier in Dutch following the proposal by which would predict that the speakers would prefer not to insert Mandarin Cl after Dutch ONE .","the speakers","no","speakers"
"Participants completed a language background questionnaire at the end of the survey where they also indicated the community practices regarding code-switching behavior .","code-switching behavior","no","the code-switching behavior"
"an example of a switch they could use with a someone close to them ( friend or family member ) in daily conversation .","a someone","no","someone"
"an example of a switch they could use with a someone close to them ( friend or family member ) in daily conversation .","daily conversation","no","a daily conversation"
"an example of a switch they could use with a someone close to them ( friend or family member ) in daily conversation .","friend","no","a friend"
"an example of a switch they could use with a someone close to them ( friend or family member ) in daily conversation .","family member","no","a family member"
"The switch is always in direct object position and the classifier is always a specific one as shown .","direct object position","no","the direct object position"
"This is done not to run into issues when having to combine different scripts .","different scripts","no","the different scripts"
"This allows to control whether the participants are actually engaging in the task in a proper manner and have sufficient level in both languages .","sufficient level","no","a sufficient level"
"The research is implemented on Qualtrics and has a form of forced-choice grammaticality judgement task introduced with the following question : What sounds more natural to you ?","a form","no","the form"
"The research is implemented on Qualtrics and has a form of forced-choice grammaticality judgement task introduced with the following question : What sounds more natural to you ?","forced-choice grammaticality judgement task","no","a forced-choice grammaticality judgement task"
"The instruction and information slides are presented in code-switching mode","information slides","no","the information slides"
"The instruction and information slides are presented in code-switching mode","code-switching mode","no","a code-switching mode"
"This is done in order to reduce the chance of them looking for advice on the web or by other means .","advice","no","an advice"
"The main research question was whether Dutch has a ( silent ) classifier projection that hosts plural morpheme .","plural morpheme","no","a plural morpheme"
"The research question is motivated by the scholarship on count syntax and classifiers and builds on Doetjes and Borer in assuming that plural morpheme in Dutch is a sortal classifier .","plural morpheme in Dutch","no","the plural morpheme in Dutch"
"This suggests that their Spanish prepositions function in grammar similarly to English counterparts .","English counterparts","no","the English counterparts"
"The internship ended up being quite different in several respects compared to the initial plan , and I take it as , firstly , inevitable part of the research process and , secondly , a learning point for my own future research as well as a step to understand how scientific research process works .","scientific research process","no","the scientific research process"
"The collection of literature serves as a substitution of the initially proposed database that was expected to be one of the outcomes of the internship .","literature","no","the literature"
"This of course ties to an overall aim of my organization to focus on linguistic diversity and variation and the ways to study it .","linguistic diversity","no","the linguistic diversity"
"This would include mentioning sources and writing notes in the way that they are understandable for further usage without going to the literature itself every time .","sources","no","the sources"
"This is deeply rooted in a fascination with common patterns observable across different languages and the realisation that understanding these patterns is integral to understanding human language and cognition .","common patterns","no","the common patterns"
"I want to develop within academia to continue this conversation .","academia","no","the academia"
"The presence of OTHER in the pronominal systems of some languages (or wunder we.other in Dutch dialects ) leads to the questions like what type of additional information OTHER brings in these cases and how languages that do not express OTHER in the pronominal system express these meanings .","languages","no","the languages"
"I was lucky to become part of the research looking into the ways VR ( virtual reality ) can be implemented as a data collection methodology for linguistic fieldwork .","part","no","a part"
"Working on that project I got hands-on experience writing data management plan and learned a lot about data management in general .","data management plan","no","a data management plan"
"I got a lot of experience designing experimental research and implementing it into Lab.js ( the actual research was done remotely ) .","experimental research","no","an experimental research"
"My education includes some training in running descriptive and inferential statistics and programming in R ( for descriptive statistics ) .","descriptive and inferential statistics","no","the descriptive and inferential statistics"
"I am ready to solve unexpected/unanticipated issues right on the spot .","unexpected/unanticipated issues","no","the unexpected/unanticipated issues"
"The imagined setting becomes realistic allowing for more accurate responses and study of language .","study of language","no","the study of language"
"They also reported feeling completely immersed and feeling part of the virtual reality while the video was running .","part of the virtual reality","no","a part of the virtual reality"
"The solution in the form of rotating chair creates a stable basis allowing you not to lose the connection to reality but at the same time move around VR freely .","chair","no","the chair"
"Direct modification adjectives are always closer to the noun then the indirect modification ones .","Direct modification adjectives","no","The direct modification adjectives"
"Gender marking in Russian can not be treated as dimension classifier because this is incompatible with the derivation in ( 2b ) .","dimension classifier","no","a dimention classifier"
"Adjectival hierarchies are in most cases based on semantic classes of modifiers .","semantic classes","no","the semantic classes"
"2.2 Direct and indirect source of modification","modification","no","the modification"
"Modifiers come from direct and indirect source .","direct source","no","a direct source"
"Modifiers come from direct and indirect source .","indirect source","no","an indirect source"
"Direct modifiers are in the specifiers of dedicated FP ( 6a ) and indirect modifiers originate in reduced relative clause ( 6b ) .","dedicated FP ( 6a )","no","the dedicated FP ( 6a )"
"Direct modifiers are in the specifiers of dedicated FP ( 6a ) and indirect modifiers originate in reduced relative clause ( 6b ) .","reduced relative clause ( 6b )","no","the reduced relative clause ( 6b )"
"According to Cinque the strict ordering holds only for modifiers from direct source ( see Appendix 1 for all ( semantic ) tests based on English ) .","modifiers","no","the modifiers"
"According to Cinque the strict ordering holds only for modifiers from direct source ( see Appendix 1 for all ( semantic ) tests based on English ) .","direct source","no","a direct source"
"I argue that the phenominon of predicative modification is more complex which leads to the availability of predicative use of those modifiers that should be direct ones based on Cinque 2010 .","direct ones","no","the direct ones"
"In Taiwanese classifiers are argued to function as dimension providers since they occur with dimension-indicating modifiers such as size ( 12 )","dimension-indicating modifiers","no","the dimension-indicating modifiers"
"Some modifiers such as size ones can appear in both positions leading to the type-token distinction in the interpretation ( 15 ) .","size ones","no","the size ones"
"According to Kayne modifier functions as a week antecedent that licenses colour .","modifier","no","a modifier"
"I will further show that the truth conditions for the structure with and without elements like colour are different .","elements","no","the elements"
"The grammaticality of a free-standing DimCl is dependent on whether DimensionP is embedded in a possessive structure .","DimensionP","no","the DimensionP"
"Kind interpretation of such cases is supported by the ungrammaticality of ( 24 ) ( see De Belder ) who argues that the diminutive in Dutch can not appear in kind-denoting contexts )","Kind interpretation","no","The kind interpretation"
"( 25 ) shows that DimCl are also banned in contexts requiring high degree of referentiality .","DimCl","no","the DimCl"
"In this case we are dealing with properties of kinds .","properties","no","the properties"
"For Russian similar situation is observed for postnominal modifiers that can only indicate kind names .","similar situation","no","a similar situation"
"Modifiers in Dutch and Russian have gender feature the value for which they get either from the DimCl or otherwise from the noun .","gender feature the value","no","a gender feature value"
"In of-modification structure the noun and the DimCl are underlyingly in a possessive relation and hence can be paraphrased as ( 38 ) .","of-modification structure","no","an of-modification structure"
"They show the same distribution in terms of of-modification ( 48b ) and not having a possessive relation with the noun ( 48c ) .","of-modification ( 48b )","no","the of-modification ( 48b )"
"The material modifier in ( 1b ) does not allow predicative use and corresponds to direct modification source .","predicative use","no","a predicative use"
